,target
0,satisfied
1,satisfied
2,neutral or dissatisfied
3,satisfied
4,satisfied
5,satisfied
6,satisfied
7,satisfied
8,satisfied
9,satisfied
10,satisfied
11,neutral or dissatisfied
12,satisfied
13,satisfied
14,satisfied
15,neutral or dissatisfied
16,neutral or dissatisfied
17,satisfied
18,neutral or dissatisfied
19,satisfied
20,satisfied
21,neutral or dissatisfied
22,neutral or dissatisfied
23,satisfied
24,neutral or dissatisfied
25,neutral or dissatisfied
26,satisfied
27,satisfied
28,satisfied
29,neutral or dissatisfied
30,neutral or dissatisfied
31,satisfied
32,neutral or dissatisfied
33,neutral or dissatisfied
34,satisfied
35,neutral or dissatisfied
36,satisfied
37,satisfied
38,neutral or dissatisfied
39,neutral or dissatisfied
40,neutral or dissatisfied
41,satisfied
42,neutral or dissatisfied
43,satisfied
44,neutral or dissatisfied
45,satisfied
46,satisfied
47,neutral or dissatisfied
48,satisfied
49,neutral or dissatisfied
50,neutral or dissatisfied
51,satisfied
52,satisfied
53,neutral or dissatisfied
54,satisfied
55,neutral or dissatisfied
56,satisfied
57,neutral or dissatisfied
58,neutral or dissatisfied
59,neutral or dissatisfied
60,satisfied
61,neutral or dissatisfied
62,neutral or dissatisfied
63,satisfied
64,satisfied
65,neutral or dissatisfied
66,neutral or dissatisfied
67,neutral or dissatisfied
68,satisfied
69,satisfied
70,neutral or dissatisfied
71,neutral or dissatisfied
72,neutral or dissatisfied
73,satisfied
74,neutral or dissatisfied
75,neutral or dissatisfied
76,neutral or dissatisfied
77,neutral or dissatisfied
78,neutral or dissatisfied
79,neutral or dissatisfied
80,satisfied
81,neutral or dissatisfied
82,satisfied
83,neutral or dissatisfied
84,neutral or dissatisfied
85,neutral or dissatisfied
86,neutral or dissatisfied
87,satisfied
88,neutral or dissatisfied
89,neutral or dissatisfied
90,satisfied
91,neutral or dissatisfied
92,satisfied
93,neutral or dissatisfied
94,satisfied
95,neutral or dissatisfied
96,neutral or dissatisfied
97,satisfied
98,neutral or dissatisfied
99,neutral or dissatisfied
100,neutral or dissatisfied
101,neutral or dissatisfied
102,satisfied
103,neutral or dissatisfied
104,satisfied
105,satisfied
106,satisfied
107,neutral or dissatisfied
108,neutral or dissatisfied
109,satisfied
110,neutral or dissatisfied
111,neutral or dissatisfied
112,satisfied
113,neutral or dissatisfied
114,neutral or dissatisfied
115,neutral or dissatisfied
116,neutral or dissatisfied
117,satisfied
118,neutral or dissatisfied
119,satisfied
120,satisfied
121,satisfied
122,satisfied
123,neutral or dissatisfied
124,neutral or dissatisfied
125,neutral or dissatisfied
126,neutral or dissatisfied
127,neutral or dissatisfied
128,satisfied
129,satisfied
130,neutral or dissatisfied
131,neutral or dissatisfied
132,neutral or dissatisfied
133,neutral or dissatisfied
134,satisfied
135,neutral or dissatisfied
136,neutral or dissatisfied
137,satisfied
138,neutral or dissatisfied
139,neutral or dissatisfied
140,neutral or dissatisfied
141,satisfied
142,neutral or dissatisfied
143,satisfied
144,satisfied
145,neutral or dissatisfied
146,satisfied
147,satisfied
148,neutral or dissatisfied
149,satisfied
150,satisfied
151,satisfied
152,satisfied
153,satisfied
154,satisfied
155,satisfied
156,neutral or dissatisfied
157,neutral or dissatisfied
158,satisfied
159,satisfied
160,satisfied
161,satisfied
162,neutral or dissatisfied
163,satisfied
164,neutral or dissatisfied
165,satisfied
166,neutral or dissatisfied
167,neutral or dissatisfied
168,satisfied
169,neutral or dissatisfied
170,satisfied
171,satisfied
